22:48:59] Episode 641: Reward 13.0, Steps 50, Win Rate 0.178, Epsilon 0.050 (6.3 eps/s)
[22:48:59] Episode 643: Reward 11.8, Steps 50, Win Rate 0.179, Epsilon 0.050 (6.3 eps/s)
[22:49:00] Episode 644: Reward 11.4, Steps 50, Win Rate 0.180, Epsilon 0.050 (6.3 eps/s)
[22:49:00] Episode 650: Reward -5.0, Steps 2, Win Rate 0.178, Epsilon 0.050 (6.3 eps/s)
[22:49:05] Episode 661: Reward 11.9, Steps 50, Win Rate 0.177, Epsilon 0.050 (6.2 eps/s)
[22:49:05] Episode 662: Reward 6.8, Steps 50, Win Rate 0.178, Epsilon 0.050 (6.2 eps/s)
[22:49:05] Episode 663: Reward 5.2, Steps 50, Win Rate 0.179, Epsilon 0.050 (6.2 eps/s)
[22:49:05] Episode 665: Reward 13.2, Steps 50, Win Rate 0.180, Epsilon 0.050 (6.2 eps/s)
[22:49:06] Episode 668: Reward 11.0, Steps 50, Win Rate 0.181, Epsilon 0.050 (6.2 eps/s)
[22:49:06] Episode 669: Reward 12.3, Steps 50, Win Rate 0.182, Epsilon 0.050 (6.2 eps/s)
[22:49:07] Episode 674: Reward 13.0, Steps 50, Win Rate 0.182, Epsilon 0.050 (6.2 eps/s)
[22:49:08] Episode 684: Reward 11.7, Steps 50, Win Rate 0.181, Epsilon 0.050 (6.2 eps/s)
[22:49:08] Episode 685: Reward 11.5, Steps 50, Win Rate 0.182, Epsilon 0.050 (6.2 eps/s)
[22:49:09] Episode 692: Reward 8.8, Steps 50, Win Rate 0.182, Epsilon 0.050 (6.2 eps/s)
[22:49:09] Episode 694: Reward 5.1, Steps 50, Win Rate 0.183, Epsilon 0.050 (6.2 eps/s)
[22:49:10] Episode 695: Reward 5.1, Steps 50, Win Rate 0.184, Epsilon 0.050 (6.2 eps/s)
[22:49:10] Episode 696: Reward 11.0, Steps 50, Win Rate 0.185, Epsilon 0.050 (6.2 eps/s)
[22:49:10] Episode 697: Reward 12.3, Steps 50, Win Rate 0.187, Epsilon 0.050 (6.2 eps/s)
[22:49:10] Episode 698: Reward 11.3, Steps 50, Win Rate 0.188, Epsilon 0.050 (6.2 eps/s)
[22:49:10] Episode 700: Reward 12.0, Steps 50, Win Rate 0.189, Epsilon 0.050 (6.2 eps/s)
[22:49:15] Episode 710: Reward 8.9, Steps 50, Win Rate 0.187, Epsilon 0.050 (6.0 eps/s)
[22:49:15] Episode 711: Reward 5.3, Steps 50, Win Rate 0.188, Epsilon 0.050 (6.1 eps/s)
[22:49:16] Episode 716: Reward 11.1, Steps 50, Win Rate 0.189, Epsilon 0.050 (6.0 eps/s)
[22:49:16] Episode 722: Reward 12.2, Steps 50, Win Rate 0.188, Epsilon 0.050 (6.1 eps/s)
[22:49:17] Episode 724: Reward 5.2, Steps 26, Win Rate 0.189, Epsilon 0.050 (6.1 eps/s)
[22:49:18] Episode 728: Reward 5.1, Steps 50, Win Rate 0.190, Epsilon 0.050 (6.0 eps/s)
[22:49:18] Episode 730: Reward 13.2, Steps 50, Win Rate 0.190, Epsilon 0.050 (6.1 eps/s)
[22:49:18] Episode 731: Reward 5.2, Steps 50, Win Rate 0.192, Epsilon 0.050 (6.1 eps/s)
[22:49:18] Episode 734: Reward 10.7, Steps 50, Win Rate 0.192, Epsilon 0.050 (6.1 eps/s)
[22:49:19] Episode 743: Reward 6.7, Steps 37, Win Rate 0.191, Epsilon 0.050 (6.1 eps/s)
[22:49:20] Episode 746: Reward 5.1, Steps 50, Win Rate 0.192, Epsilon 0.050 (6.1 eps/s)
[22:49:20] Episode 749: Reward 9.3, Steps 50, Win Rate 0.192, Epsilon 0.050 (6.1 eps/s)
